TransactionID	CustomerID	CustomerDOB	CustomerGender	CustomerLocation	CustomerAccountBalance	TransactionDate	TransactionTime	TransactionAmount	Customer Age	Account Bal Status	TransactionMonth	TransactionDay	Age Range	Clean Customer Age	Customer Cluster
T327753	C3156091	Monday, November 20, 1989	M	MUMBAI	14608.71	Monday, August 15, 2016	12:55:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T330953	C5811662	Monday, April 3, 1989	M	MUMBAI	25740.41	Monday, August 15, 2016	3:36:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T338191	C2339139	Wednesday, March 8, 1989	M	MUMBAI	564.93	Monday, August 15, 2016	7:14:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster1
T342499	C3818080	Wednesday, July 19, 1989	M	MUMBAI	19567.11	Monday, August 15, 2016	11:36:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T346144	C7335654	Sunday, October 22, 1989	M	MUMBAI	1054.7	Sunday, August 14, 2016	3:21:00 AM	500	27	Valid	Aug-16	Sunday	26-35	27	Cluster2
T346774	C2539183	Wednesday, March 8, 1989	M	MUMBAI	564.93	Monday, August 15, 2016	11:10:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T353196	C3038525	Friday, December 8, 1989	M	MUMBAI	1624.54	Sunday, August 14, 2016	12:21:00 PM	500	27	Valid	Aug-16	Sunday	26-35	27	Cluster1
T356360	C1932182	Sunday, October 1, 1989	M	MUMBAI	11832.41	Sunday, August 14, 2016	7:01:00 PM	500	27	Valid	Aug-16	Sunday	26-35	27	Cluster1
T364035	C4311392	Tuesday, October 24, 1989	M	MUMBAI	22595.91	Saturday, August 13, 2016	1:13:00 AM	500	27	Valid	Aug-16	Saturday	26-35	27	Cluster2
T380642	C2025111	Friday, March 17, 1989	M	MUMBAI	200075.65	Saturday, August 13, 2016	2:28:00 PM	500	27	Valid	Aug-16	Saturday	26-35	27	Cluster1
T387849	C8240119	Monday, August 21, 1989	M	MUMBAI	10264.07	Saturday, August 13, 2016	7:13:00 PM	500	27	Valid	Aug-16	Saturday	26-35	27	Cluster1
T394548	C8639657	Sunday, July 30, 1989	M	MUMBAI	89318.59	Thursday, August 18, 2016	9:19:00 AM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T397304	C8838580	Friday, December 8, 1989	M	MUMBAI	1624.54	Thursday, August 18, 2016	9:21:00 AM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster1
T400112	C4732765	Thursday, October 12, 1989	M	MUMBAI	19921.15	Thursday, August 18, 2016	12:16:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T400364	C1239640	Sunday, July 30, 1989	M	MUMBAI	89318.59	Thursday, August 18, 2016	9:21:00 AM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster1
T404403	C7133635	Thursday, August 31, 1989	M	MUMBAI	364640.41	Thursday, August 18, 2016	6:39:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster1
T410520	C6323520	Thursday, July 27, 1989	M	MUMBAI	36953.85	Thursday, August 18, 2016	9:42:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T412272	C1738687	Saturday, October 7, 1989	M	MUMBAI	116459.8	Wednesday, August 17, 2016	9:55:00 AM	500	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T414830	C4310328	Tuesday, August 8, 1989	M	MUMBAI	25200.88	Thursday, August 18, 2016	8:45:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T425410	C2617763	Sunday, November 5, 1989	M	MUMBAI	18110.81	Wednesday, August 17, 2016	1:55:00 PM	500	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T439733	C3420717	Wednesday, April 19, 1989	M	MUMBAI	43960.92	Tuesday, August 16, 2016	12:00:00 PM	500	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T454259	C5937678	Monday, August 7, 1989	M	MUMBAI	20248.8	Sunday, August 21, 2016	8:12:00 AM	500	27	Valid	Aug-16	Sunday	26-35	27	Cluster2
T459504	C8866158	Saturday, January 7, 1989	M	MUMBAI	22968.41	Sunday, August 21, 2016	6:49:00 AM	500	27	Valid	Aug-16	Sunday	26-35	27	Cluster1
T460285	C6112332	Friday, January 6, 1989	M	MUMBAI	3273.75	Sunday, August 21, 2016	3:08:00 PM	500	27	Valid	Aug-16	Sunday	26-35	27	Cluster1
T462638	C7222741	Wednesday, May 31, 1989	M	MUMBAI	23057.87	Sunday, August 21, 2016	4:47:00 PM	500	27	Valid	Aug-16	Sunday	26-35	27	Cluster2
T464143	C1721427	Wednesday, November 29, 1989	M	MUMBAI	11827.81	Sunday, August 21, 2016	4:55:00 PM	500	27	Valid	Aug-16	Sunday	26-35	27	Cluster2
T470175	C5032154	Sunday, October 1, 1989	M	MUMBAI	11832.41	Sunday, August 21, 2016	8:11:00 PM	500	27	Valid	Aug-16	Sunday	26-35	27	Cluster2
T502290	C9020778	Wednesday, April 19, 1989	M	MUMBAI	43960.92	Friday, August 19, 2016	11:37:00 AM	500	27	Valid	Aug-16	Friday	26-35	27	Cluster2
T503846	C1039158	Wednesday, October 11, 1989	M	MUMBAI	49.52	Friday, August 19, 2016	1:22:00 PM	500	27	Valid	Aug-16	Friday	26-35	27	Cluster1
T554435	C5341856	Monday, March 27, 1989	M	MUMBAI	80.89	Tuesday, August 23, 2016	5:03:00 PM	500	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T560966	C6416719	Wednesday, April 26, 1989	M	MUMBAI	3949.05	Monday, August 22, 2016	3:02:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster1
T562543	C5839623	Sunday, July 30, 1989	M	MUMBAI	89318.59	Saturday, August 27, 2016	9:31:00 AM	500	27	Valid	Aug-16	Saturday	26-35	27	Cluster2
T580256	C2223189	Tuesday, May 9, 1989	M	MUMBAI	4416.32	Saturday, August 27, 2016	2:34:00 PM	500	27	Valid	Aug-16	Saturday	26-35	27	Cluster1
T595004	C2728588	Sunday, January 8, 1989	M	MUMBAI	7945.69	Saturday, August 27, 2016	10:54:00 PM	500	27	Valid	Aug-16	Saturday	26-35	27	Cluster2
T610720	C7618782	Monday, October 23, 1989	M	MUMBAI	134700.02	Friday, August 26, 2016	8:55:00 AM	500	27	Valid	Aug-16	Friday	26-35	27	Cluster1
T633574	C5829513	Monday, October 30, 1989	M	MUMBAI	19711.89	Monday, August 29, 2016	11:15:00 AM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T634496	C8136661	Tuesday, June 20, 1989	M	MUMBAI	68890.27	Monday, August 29, 2016	12:24:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster1
T639993	C2932760	Thursday, October 12, 1989	M	MUMBAI	19921.15	Thursday, August 25, 2016	9:43:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T640271	C7432729	Thursday, October 12, 1989	M	MUMBAI	19921.15	Thursday, August 25, 2016	9:41:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T641108	C2645419	Thursday, October 26, 1989	M	MUMBAI	5362.34	Thursday, August 25, 2016	8:28:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T642738	C1017338	Wednesday, November 8, 1989	M	MUMBAI	19450.36	Thursday, August 25, 2016	8:26:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster1
T647041	C7732728	Thursday, October 12, 1989	M	MUMBAI	19921.15	Thursday, August 25, 2016	9:42:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T649129	C7832717	Thursday, October 12, 1989	M	MUMBAI	19921.15	Thursday, August 25, 2016	9:42:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster1
T679463	C1241969	Monday, January 30, 1989	M	MUMBAI	53937.32	Sunday, August 28, 2016	1:05:00 AM	500	27	Valid	Aug-16	Sunday	26-35	27	Cluster2
T680514	C3466153	Saturday, January 7, 1989	M	MUMBAI	22968.41	Wednesday, August 31, 2016	10:05:00 PM	500	27	Valid	Aug-16	Wednesday	26-35	27	Cluster1
T700687	C9031822	Thursday, November 9, 1989	M	MUMBAI	177.35	Tuesday, August 30, 2016	11:52:00 AM	500	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T701228	C7928724	Thursday, May 25, 1989	M	MUMBAI	58700.36	Tuesday, August 30, 2016	12:30:00 PM	500	27	Valid	Aug-16	Tuesday	26-35	27	Cluster1
T706871	C8920736	Wednesday, April 19, 1989	M	MUMBAI	43960.92	Tuesday, August 30, 2016	11:30:00 AM	500	27	Valid	Aug-16	Tuesday	26-35	27	Cluster1
T49722	C3915433	Saturday, February 25, 1989	M	MUMBAI	121466.34	Wednesday, August 3, 2016	2:11:00 PM	100	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T61858	C8915733	Tuesday, December 19, 1989	M	MUMBAI	40102.85	Tuesday, August 2, 2016	9:41:00 AM	100	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T66090	C3940646	Friday, June 16, 1989	M	MUMBAI	20351.35	Tuesday, August 2, 2016	1:06:00 PM	100	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T76521	C7283279	Tuesday, September 12, 1989	M	MUMBAI	822.94	Tuesday, August 2, 2016	6:29:00 PM	100	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T80128	C2735243	Thursday, December 28, 1989	M	MUMBAI	0	Tuesday, August 2, 2016	8:50:00 PM	100	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T89534	C2418087	Wednesday, July 19, 1989	M	MUMBAI	19567.11	Monday, August 1, 2016	3:52:00 PM	100	27	Valid	Aug-16	Monday	26-35	27	Cluster1
T111531	C6731377	Monday, October 9, 1989	M	MUMBAI	4625.83	Saturday, August 6, 2016	11:24:00 AM	100	27	Valid	Aug-16	Saturday	26-35	27	Cluster2
T127322	C3023562	Thursday, July 27, 1989	M	MUMBAI	36953.85	Saturday, August 6, 2016	7:36:00 PM	100	27	Valid	Aug-16	Saturday	26-35	27	Cluster2
T135572	C5815356	Monday, August 14, 1989	M	MUMBAI	9663.7	Saturday, August 6, 2016	10:26:00 PM	100	27	Valid	Aug-16	Saturday	26-35	27	Cluster2
T140095	C3818020	Wednesday, July 19, 1989	M	MUMBAI	19567.11	Friday, August 5, 2016	9:44:00 AM	100	27	Valid	Aug-16	Friday	26-35	27	Cluster2
T152506	C1223620	Wednesday, July 5, 1989	M	MUMBAI	8941.33	Friday, August 5, 2016	7:50:00 PM	100	27	Valid	Aug-16	Friday	26-35	27	Cluster1
T154284	C7815321	Monday, August 14, 1989	M	MUMBAI	9663.7	Thursday, August 4, 2016	10:08:00 AM	100	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T165582	C3322471	Wednesday, March 8, 1989	M	MUMBAI	329356.97	Thursday, August 4, 2016	3:39:00 PM	100	27	Valid	Aug-16	Thursday	26-35	27	Cluster1
T168813	C4611337	Tuesday, October 24, 1989	M	MUMBAI	22595.91	Thursday, August 4, 2016	6:27:00 PM	100	27	Valid	Aug-16	Thursday	26-35	27	Cluster1
T170532	C1380085	Friday, June 16, 1989	M	MUMBAI	55.42	Thursday, August 4, 2016	5:26:00 PM	100	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T175628	C1338355	Wednesday, November 1, 1989	M	MUMBAI	15500.51	Tuesday, August 9, 2016	3:00:00 AM	100	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T194115	C1918072	Wednesday, July 19, 1989	M	MUMBAI	19567.11	Tuesday, August 9, 2016	9:28:00 PM	100	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T201119	C8353143	Sunday, July 9, 1989	M	MUMBAI	44.83	Monday, August 8, 2016	1:20:00 PM	100	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T212432	C2621611	Monday, June 19, 1989	M	MUMBAI	312.32	Monday, August 8, 2016	1:50:00 PM	100	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T226823	C7335257	Thursday, December 28, 1989	M	MUMBAI	0	Sunday, August 7, 2016	10:06:00 AM	100	27	Valid	Aug-16	Sunday	26-35	27	Cluster1
T228239	C5322346	Monday, November 13, 1989	M	MUMBAI	5577.6	Monday, August 8, 2016	10:30:00 PM	100	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T228489	C7525033	Tuesday, April 11, 1989	M	MUMBAI	10853.08	Monday, August 8, 2016	10:27:00 PM	100	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T258148	C2511530	Friday, December 22, 1989	M	MUMBAI	3783.1	Friday, August 12, 2016	10:06:00 AM	100	27	Valid	Aug-16	Friday	26-35	27	Cluster1
T281894	C3310356	Monday, July 3, 1989	M	MUMBAI	2153.44	Thursday, August 11, 2016	10:39:00 AM	100	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T290453	C2210462	Saturday, October 7, 1989	M	MUMBAI	8403.21	Thursday, August 11, 2016	9:06:00 PM	100	27	Valid	Aug-16	Thursday	26-35	27	Cluster1
T302803	C3811347	Tuesday, June 20, 1989	M	MUMBAI	30113.57	Wednesday, August 10, 2016	9:21:00 AM	100	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T322441	C6518040	Wednesday, July 19, 1989	M	MUMBAI	19567.11	Wednesday, August 10, 2016	11:25:00 PM	100	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T335374	C2433038	Friday, March 17, 1989	M	MUMBAI	179202.62	Monday, August 15, 2016	7:57:00 PM	100	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T336420	C1438569	Friday, December 8, 1989	M	MUMBAI	1624.54	Monday, August 15, 2016	6:43:00 PM	100	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T337228	C4466138	Saturday, January 7, 1989	M	MUMBAI	22968.41	Monday, August 15, 2016	11:38:00 PM	100	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T340531	C3930786	Sunday, October 8, 1989	M	MUMBAI	7129.19	Monday, August 15, 2016	9:52:00 PM	100	27	Valid	Aug-16	Monday	26-35	27	Cluster1
T344465	C3218017	Wednesday, July 19, 1989	M	MUMBAI	19567.11	Sunday, August 14, 2016	10:28:00 AM	100	27	Valid	Aug-16	Sunday	26-35	27	Cluster2
T346123	C7313129	Thursday, June 1, 1989	M	MUMBAI	23804.18	Sunday, August 14, 2016	9:19:00 AM	100	27	Valid	Aug-16	Sunday	26-35	27	Cluster2
T350728	C6840537	Thursday, August 31, 1989	M	MUMBAI	13259.28	Sunday, August 14, 2016	6:28:00 PM	100	27	Valid	Aug-16	Sunday	26-35	27	Cluster1
T351913	C6638088	Sunday, April 2, 1989	M	MUMBAI	4310.23	Sunday, August 14, 2016	12:29:00 PM	100	27	Valid	Aug-16	Sunday	26-35	27	Cluster2
T362648	C5944722	Sunday, September 17, 1989	M	MUMBAI	4132.27	Sunday, August 14, 2016	9:04:00 PM	100	27	Valid	Aug-16	Sunday	26-35	27	Cluster2
T366627	C7083666	Friday, September 29, 1989	M	MUMBAI	126984.13	Saturday, August 13, 2016	9:46:00 AM	100	27	Valid	Aug-16	Saturday	26-35	27	Cluster2
T366870	C8330726	Sunday, October 8, 1989	M	MUMBAI	7129.19	Sunday, August 14, 2016	7:37:00 PM	100	27	Valid	Aug-16	Sunday	26-35	27	Cluster2
T379466	C5530957	Friday, May 5, 1989	M	MUMBAI	14575.81	Saturday, August 13, 2016	7:01:00 AM	100	27	Valid	Aug-16	Saturday	26-35	27	Cluster1
T403971	C1724447	Thursday, October 12, 1989	M	MUMBAI	3980.32	Thursday, August 18, 2016	2:47:00 PM	100	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T411566	C3688333	Thursday, January 5, 1989	M	MUMBAI	10025.04	Wednesday, August 17, 2016	10:00:00 AM	100	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T428955	C8423248	Wednesday, August 16, 1989	M	MUMBAI	222.31	Wednesday, August 17, 2016	8:34:00 PM	100	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T430284	C4129575	Monday, October 30, 1989	M	MUMBAI	19711.89	Wednesday, August 17, 2016	8:24:00 PM	100	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T434350	C4118027	Wednesday, July 19, 1989	M	MUMBAI	19567.11	Wednesday, August 17, 2016	11:07:00 PM	100	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T446509	C3311376	Tuesday, October 24, 1989	M	MUMBAI	22595.91	Tuesday, August 16, 2016	7:11:00 PM	100	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T451064	C3711569	Friday, December 22, 1989	M	MUMBAI	3783.1	Tuesday, August 16, 2016	3:57:00 PM	100	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T452864	C1930727	Sunday, October 8, 1989	M	MUMBAI	7129.19	Tuesday, August 16, 2016	10:36:00 PM	100	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T454957	C1525061	Tuesday, April 11, 1989	M	MUMBAI	10853.08	Tuesday, August 16, 2016	6:32:00 PM	100	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T456015	C5935532	Wednesday, November 1, 1989	M	MUMBAI	10473.6	Tuesday, August 16, 2016	10:01:00 PM	100	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T458554	C1813940	Monday, August 14, 1989	M	MUMBAI	1781.7	Sunday, August 21, 2016	6:10:00 AM	100	27	Valid	Aug-16	Sunday	26-35	27	Cluster1
T462570	C5736053	Sunday, November 5, 1989	M	MUMBAI	33090.52	Tuesday, August 16, 2016	10:53:00 PM	100	27	Valid	Aug-16	Tuesday	26-35	27	Cluster1
T465502	C6121565	Saturday, August 5, 1989	M	MUMBAI	4815.89	Sunday, August 21, 2016	7:21:00 PM	100	27	Valid	Aug-16	Sunday	26-35	27	Cluster2
T471583	C6022975	Monday, May 8, 1989	M	MUMBAI	60.1	Sunday, August 21, 2016	9:53:00 PM	100	27	Valid	Aug-16	Sunday	26-35	27	Cluster1
T472978	C7622988	Monday, May 8, 1989	M	MUMBAI	60.1	Sunday, August 21, 2016	9:52:00 PM	100	27	Valid	Aug-16	Sunday	26-35	27	Cluster1
T480613	C8541966	Saturday, March 25, 1989	M	MUMBAI	13287.06	Saturday, August 20, 2016	11:56:00 AM	100	27	Valid	Aug-16	Saturday	26-35	27	Cluster2
T499656	C4110356	Monday, July 3, 1989	M	MUMBAI	2153.44	Friday, August 19, 2016	11:39:00 AM	100	27	Valid	Aug-16	Friday	26-35	27	Cluster2
T501449	C3013960	Monday, August 14, 1989	M	MUMBAI	1781.7	Saturday, August 20, 2016	7:14:00 PM	100	27	Valid	Aug-16	Saturday	26-35	27	Cluster2
T514694	C5836025	Sunday, November 5, 1989	M	MUMBAI	33090.52	Friday, August 19, 2016	4:47:00 PM	100	27	Valid	Aug-16	Friday	26-35	27	Cluster1
